"Rqrmnt","Eff Date","Line","Dtl Seq","Key","Dtl Type","Incl Mode","Recall","Interp","Rq Group","Rqrmnt","Line","Ref Nbr","Ref Data","Crse Lst","Institution","Career","Cond Code","Operator","Value","Ignore msng tgt","Test ID","Component","Score","Max Age","Select Method","Crse Attr","CrsAtr Val","Condition"
"000003596","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002025","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003597","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000001988","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003598","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002029","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003599","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002026","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003600","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002027","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003601","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002028","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003602","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002028","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003603","03/28/2017","0010","1","0001","CLST","","","A","","","","0","","000002026","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003648","06/29/2017","0010","1","0001","CLST","","","A","","","","0","","000002064","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003649","06/26/2017","0010","1","0001","CLST","","","A","","","","0","","000002065","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001372","01/01/1901","0020","1","0002","COND","","","","","","","0","","","QNS01","UGRD","TST","GE","","N","READ EXEMPT","E","9999.00","999","HS","","",""
"000001373","01/01/1901","0020","1","0002","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","WRIT EXEMPT","E","9999.00","999","HS","","",""
"000001374","01/01/1901","0020","1","0002","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","MATH EXEMPT","B","9999.00","999","HS","","",""
"000001372","01/01/1901","0070","1","0007","COND","","","","","","","0","","","QNS01","UGRD","TST","GE","","N","READ EXEMPT","X","9999.00","999","HS","","",""
"000001373","01/01/1901","0070","1","0007","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","WRIT EXEMPT","X","9999.00","999","HS","","",""
"000001374","01/01/1901","0070","1","0007","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","MATH EXEMPT","T","9999.00","999","HS","","",""
